,pathway_name,pathway_description,ko_id,gene_name,kegg_organism_code,uniprot_id
37487,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,nfu:107389126,nfu,A0A1A8VFK6
37536,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,bfo:118418081,bfo,A0A9J7MUV5
37546,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,dpx:DAPPUDRAFT_202910,dpx,E9HG26
37605,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,tad:TRIADDRAFT_55544,tad,B3RV67
37606,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,tad:TRIADDRAFT_55543,tad,B3RV66
37612,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,ddi:DDB_G0269678,ddi,Q55DE9
37618,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,tps:THAPSDRAFT_11189,tps,B8LDB3
37619,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,ehx:EMIHUDRAFT_453358,ehx,R1BCB7
37660,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,hgl:101721621,hgl,A0A0P6J967
37661,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,cpoc:100720806,cpoc,H0VTN9
37683,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,mpuf:101692965,mpuf,M3Y217
37732,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,mlf:102440845,mlf,G1PE38
37795,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,acs:100559256,acs,G1KHZ4
37816,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,xla:432136,xla,Q6INX4
37824,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,dre:558186,dre,F1Q510
37894,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,nfu:107382513,nfu,A0A9D2Y3R6
37936,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,bfo:118428383,bfo,A0A9J7M3Z0
38141,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,nve:5522234,nve,A7RF96
38150,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,aqu:100636591,aqu,A0A1X7U3G6
38151,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,aqu:100636465,aqu,A0A1X7U436
38152,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,cne:CNB01020,cne,Q5KMP0
38154,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,cng:CNAG_03599,cng,J9VFH5
38176,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,scm:SCHCO_02513503,scm,D8QE33
38183,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K18334,uma:UMAG_02115,uma,A0A0D1E5G1
39237,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mcc:698120,mcc,G7MU33
39238,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mcc:711995,mcc,F7HAC6
39239,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mcc:710479,mcc,A0A8J8Y0W5
39327,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mmu:212032,mmu,Q3TRM8
39328,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mmu:216019,mmu,Q91W97
39329,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mmu:15275,mmu,Q6GQU1
39330,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mmu:15277,mmu,O08528
39339,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,rno:25058,rno,P05708
39340,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,rno:25059,rno,P27881
39341,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,rno:25060,rno,P27926
39359,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,maua:101839911,maua,A0A1U7QCE3
39360,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,maua:101831511,maua,A0A1U7R2U6
39361,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,maua:101825158,maua,A0A1U7QPV8
39388,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,hgl:101722401,hgl,G5AXE1
39389,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,hgl:101709130,hgl,A0A0P6J9E7
39391,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,cpoc:100732658,cpoc,H0VE10
39393,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,cpoc:100729828,cpoc,A0A286XND5
39394,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,cpoc:100730936,cpoc,A0A286Y453
39438,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,cfa:479234,cfa,A0A8C0NKA4
39441,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,cfa:489019,cfa,A0A8C0NLX0
39484,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mpuf:101685139,mpuf,M3YAC2
39486,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mpuf:101672779,mpuf,A0A8U0T3C5
39525,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,fca:101089344,fca,M3W529
39526,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,fca:101094295,fca,M3W345
39527,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,fca:101098403,fca,A0A2I2UHA4
39681,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mlf:102426995,mlf,G1PL33
39800,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,gga:373889,gga,Q8AYP8
39801,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,gga:374044,gga,Q8AYP7
39930,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,clv:102088765,clv,A0A2I0MFB9
40136,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,acs:100566564,acs,H9GFG3
40215,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,xla:100036846,xla,A1L2H2
40216,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,xla:394323,xla,Q6GQB4
40217,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,xla:108696205,xla,A0A1L8FJQ1
40218,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,xla:108697444,xla,A0A1L8FER1
40219,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,xla:108711534,xla,A0A1L8H1E1
40220,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,xla:108712774,xla,A0A1L8GS61
40221,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,xla:108713229,xla,A0A1L8GUZ3
40222,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,xla:108710242,xla,A0A8J1MK71
40252,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dre:321224,dre,B8A5H6
40253,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dre:406791,dre,Q7ZUM3
40254,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dre:406339,dre,Q7ZVL7
40343,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,amex:103028521,amex,A0A8T2LVW3
40344,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,amex:103047009,amex,A0A8B9LSF6
40485,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ola:101157032,ola,H2L2Y2
40486,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ola:101156878,ola,A0A3P9IS69
40487,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ola:101166309,ola,H2MKW8
40513,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,pret:103470212,pret,A0A3P9QD44
40552,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,nfu:107382412,nfu,A0A8C6LK70
40553,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,nfu:107384332,nfu,A0A9D2XNZ2
40554,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,nfu:107393526,nfu,A0A9D2XCC3
40555,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,nfu:107397082,nfu,A0A9D3BB06
40819,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bfo:118414727,bfo,A0A9J7MPH4
40837,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dme:Dmel_CG3001,dme,Q9GNH8
40838,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dme:Dmel_CG33102,dme,Q9NFT9
40839,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dme:Dmel_CG32849,dme,Q9NFT7
40840,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dme:Dmel_CG8094,dme,Q7JYW9
41082,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,tca:657694,tca,D6WAX9
41212,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dpx:DAPPUDRAFT_300056,dpx,E9FS63
41213,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,dpx:DAPPUDRAFT_307951,dpx,E9H4L3
41380,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,nve:5515074,nve,A7RZJ9
41391,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,hmg:100212254,hmg,A0A8B6XLG7
41393,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,tad:TRIADDRAFT_50939,tad,B3S8Y6
41394,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,aqu:100639704,aqu,A0A1X7TW84
41395,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ath:AT1G47840,ath,Q9FZG4
41396,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ath:AT1G50460,ath,Q9LPS1
41397,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ath:AT2G19860,ath,P93834
41398,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ath:AT3G20040,ath,Q56XE8
41399,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ath:AT4G29130,ath,Q42525
41400,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ath:AT4G37840,ath,Q9T071
41658,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mtr:11421510,mtr,G7I766
41659,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mtr:11426910,mtr,G7K998
41660,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mtr:11421234,mtr,G7LGP4
41661,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mtr:11408101,mtr,G7L7F0
41662,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,mtr:25496982,mtr,A0A072UCM8
42208,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4324666,osa,Q2KNB7
42209,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4326547,osa,Q8LQ68
42210,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4326516,osa,Q2KNB4
42211,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4326776,osa,Q1WM15
42212,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4338010,osa,Q1WM16
42213,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4339420,osa,Q2KNB9
42214,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:107275630,osa,Q2KNB5
42215,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4339361,osa,Q5W676
42216,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4343113,osa,Q8LH82
42217,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,osa:4342654,osa,Q6Z398
42246,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100837243,bdi,I1HCV5
42247,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100826327,bdi,I1HV37
42248,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100844559,bdi,A0A2K2DAV2
42249,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100830315,bdi,I1HR32
42250,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100838090,bdi,I1HH95
42251,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100823060,bdi,A0A0Q3MM58
42252,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100832143,bdi,I1HL44
42253,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100824391,bdi,I1HRF0
42254,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,bdi:100835291,bdi,I1IVT0
42349,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,zma:542510,zma,Q8L5G8
42350,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,zma:100170246,zma,B3GQB5
42351,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,zma:100192075,zma,B4FB85
42352,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,zma:100279587,zma,B7ZYX4
42353,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,zma:100285932,zma,B6UBW9
42355,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,zma:103636300,zma,K7W1K3
42356,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,zma:103650768,zma,A0A1D6N1P8
42357,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,zma:103651223,zma,A0A1D6NCX2
42462,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,smo:SELMODRAFT_231902,smo,D8RM98
42463,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,smo:SELMODRAFT_441916,smo,D8RNR5
42464,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,smo:SELMODRAFT_150326,smo,D8RVJ0
42465,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,smo:SELMODRAFT_232972,smo,D8S290
42466,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,smo:SELMODRAFT_117919,smo,D8SIL4
42467,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,smo:SELMODRAFT_234446,smo,D8SLD0
42468,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,smo:SELMODRAFT_269299,smo,D8SWF6
42469,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,smo:SELMODRAFT_269350,smo,D8SXJ2
42481,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,cre:CHLRE_02g117500v5,cre,A8JGU7
42487,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,sce:YCL040W,sce,P17709
42488,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,sce:YDR516C,sce,Q04409
42489,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,sce:YFR053C,sce,P04806
42490,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,sce:YGL253W,sce,P04807
42491,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,sce:YLR446W,sce,Q06204
42561,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ppa:PAS_chr1-4_0447,ppa,C4QYH5
42562,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ppa:PAS_chr1-4_0561,ppa,C4QYU3
42563,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ppa:PAS_chr3_1192,ppa,C4R4M0
42564,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ppa:PAS_chr4_0624,ppa,C4R8F9
42628,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ncr:NCU00575,ncr,Q7SF75
42629,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ncr:NCU02542,ncr,V5IP39
42630,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ncr:NCU04728,ncr,Q7S6H6
42786,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ani:AN4255.2,ani,Q5B5C5
42787,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ani:AN7459.2,ani,P80581
42925,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,spo:SPAC24H6.04,spo,Q09756
42926,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,spo:SPAC4F8.07c,spo,P50521
42933,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,cng:CNAG_03769,cng,J9VNK3
42934,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,cng:CNAG_05480,cng,J9VWU8
42978,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,scm:SCHCO_02624360,scm,D8PLF0
42989,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,uma:UMAG_10064,uma,A0A0D1E093
42990,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,uma:UMAG_11945,uma,A0A0D1CRB6
43048,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ehx:EMIHUDRAFT_460333,ehx,R1E063
43049,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00844,ehx:EMIHUDRAFT_428156,ehx,R1DME7
43198,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mcc:707806,mcc,F6WXS8
43199,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mcc:722173,mcc,H9FVT0
43268,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mmu:18642,mmu,P47857
43269,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mmu:56421,mmu,Q9WUA3
43270,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mmu:18641,mmu,P12382
43277,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,rno:25741,rno,P30835
43278,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,rno:65152,rno,P47858
43279,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,rno:60416,rno,P47860
43292,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,maua:101830760,maua,A0A1U7Q410
43293,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,maua:101832271,maua,A0A1U7QER6
43314,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,hgl:101724978,hgl,A0A0P6JH22
43315,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,hgl:101709405,hgl,A0A0P6K2H8
43317,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,cpoc:100720033,cpoc,H0WBB5
43318,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,cpoc:100722738,cpoc,H0UW67
43319,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,cpoc:100733625,cpoc,H0VC58
43386,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mpuf:101675626,mpuf,A0A8U0SY86
43387,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mpuf:101688513,mpuf,A0A8U0N398
43534,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mlf:102422671,mlf,G1NWC9
43622,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,gga:428411,gga,Q5ZHU4
43623,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,gga:769850,gga,Q8AYP9
43624,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,gga:374064,gga,Q90YA3
43843,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,acs:100563919,acs,G1KID2
43902,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,xla:379632,xla,Q6PF67
43903,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,xla:446756,xla,Q6DD69
43904,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,xla:100037146,xla,A2RV78
43905,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,xla:108708618,xla,A0A8J0UFC8
43925,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,dre:447836,dre,Q66HV8
43926,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,dre:568001,dre,A4QNV1
43927,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,dre:550259,dre,A0A0R4ID68
43928,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,dre:561416,dre,A0A8M9PJ31
43929,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,dre:560944,dre,A0A0R4ITA8
43930,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,dre:570106,dre,E7F9M6
44094,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,amex:103032887,amex,A0A8B9KTN0
44095,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,amex:103036959,amex,A0A8T2LCI1
44096,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,amex:103038352,amex,W5L0B1
44097,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,amex:103047611,amex,A0A8B9LN29
44117,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,tru:101063190,tru,H2TX46
44250,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ola:101174339,ola,A0A3B3IKM0
44251,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ola:101163079,ola,H2LQW7
44254,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ola:101169572,ola,A0A3B3IF63
44275,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,pret:103461653,pret,A0A3P9NYL8
44316,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,nfu:107382658,nfu,A0A1A8AZE8
44317,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,nfu:107383427,nfu,A0A1A7ZIC5
44318,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,nfu:107384035,nfu,A0A9D2XTG9
44319,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,nfu:107390123,nfu,A0A1A8VJ01
44320,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,nfu:107390830,nfu,A0A1A8VE76
44581,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bfo:118405158,bfo,A0A9J7HJ52
44591,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,dme:Dmel_CG4001,dme,P52034
44769,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,dpx:DAPPUDRAFT_42792,dpx,E9FYQ8
44813,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,cel:CELE_C50F4.2,cel,Q27483
44814,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,cel:CELE_Y71H10A.1,cel,Q9TZL8
44868,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,tad:TRIADDRAFT_28803,tad,B3S470
44869,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,aqu:100634020,aqu,A0A1X7V043
44870,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ath:AT2G22480,ath,Q8VYN6
44871,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ath:AT4G26270,ath,Q94AA4
44872,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ath:AT4G29220,ath,Q9M0F9
44873,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ath:AT4G32840,ath,Q9M076
44874,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ath:AT5G47810,ath,Q9FIK0
44875,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ath:AT5G56630,ath,Q9C5J7
44876,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,ath:AT5G61580,ath,Q9FKG3
45185,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mtr:11410489,mtr,G7I304
45186,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mtr:11430664,mtr,G7IHY5
45187,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mtr:11405809,mtr,G7JXR3
45188,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mtr:11438579,mtr,G7KHY6
45189,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mtr:11423706,mtr,G7LJ94
45190,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mtr:11415742,mtr,G7L7C4
45191,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mtr:25494344,mtr,G7ZZU2
45192,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,mtr:25490151,mtr,A0A072V223
45813,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,osa:4347383,osa,Q69QS5
45814,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,osa:4347060,osa,A0A0P0XM93
45815,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,osa:4348582,osa,Q338G3
45816,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,osa:4327301,osa,Q0JPZ1
45819,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,osa:4338034,osa,B9FIJ4
45820,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,osa:4339369,osa,Q65X97
45849,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bdi:100839985,bdi,I1H114
45850,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bdi:100828068,bdi,I1HCW2
45851,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bdi:100844561,bdi,I1HL34
45852,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bdi:100821809,bdi,I1HHF2
45853,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bdi:100846104,bdi,A0A0Q3GEV8
45855,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bdi:100836478,bdi,I1I7F8
45856,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bdi:100833338,bdi,I1IYP4
45857,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,bdi:100837013,bdi,I1IQ47
45949,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,zma:100191982,zma,B4FAW1
45950,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,zma:100192478,zma,A0A804QKD0
45951,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,zma:100279231,zma,A0A8J8YCL9
45952,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,zma:100280694,zma,C4J1M8
45953,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00850,zma:100281464,zma,B6SVM3
